268,9,개화,2:00,0.0,0.0
269,9,김포공항,2:00,3.6,3.6
270,9,공항시장,2:00,0.8,4.4
271,9,양천향교,2:00,1.4,7.5
272,9,가양,2:00,1.3,8.8
273,9,증미,2:00,0.7,9.5
274,9,등촌,2:00,1.0,10.5
275,9,염창,2:00,0.9,11.4
276,9,신목동,2:00,0.9,12.3
277,9,선유도,2:00,1.2,13.5
278,9,당산,2:00,1.0,14.5
279,9,국회의사당,2:00,1.5,16.0
280,9,여의도,2:00,0.9,16.9
281,9,샛강,2:00,0.8,17.7
282,9,노량진,2:00,1.2,18.9
283,9,노들,2:00,1.1,20.0
284,9,흑석,2:00,1.1,21.1
285,9,동작,2:00,1.4,22.5
286,9,구반포,2:00,1.0,23.5
287,9,신반포,2:00,0.7,24.2
288,9,고속터미널,2:00,0.8,25.0
289,9,사평,2:00,1.1,26.1
290,9,신논현,2:00,0.9,27.0
291,9,언주,2:00,0.8,27.8
292,9,선정릉,2:00,0.9,28.7
293,9,삼성중앙,2:00,0.8,29.5
294,9,봉은사,2:00,0.8,30.3
295,9,종합운동장,2:00,1.4,31.7
296,9,삼전,2:00,1.4,33.1
297,9,석촌고분,2:00,0.8,33.9
298,9,석촌,2:00,1.0,34.9
299,9,송파나루,2:00,0.8,35.7
300,9,한성백제,2:00,0.8,36.5
301,9,올림픽공원,2:00,1.4,37.9
302,9,둔촌오륜,2:00,1.0,38.9
